#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000005l:433960-434454 -            165 36316at4891          -             71     6e-32  106.9   8.5   1   2      0.84   1.7e+02   -0.3   0.1     3    13     8    18     6    22 0.82 -
ptg000005l:433960-434454 -            165 36316at4891          -             71     6e-32  106.9   8.5   2   2   2.9e-34     6e-32  106.9   8.5    13    71    37    98    33    98 0.97 -
ptg000011l:70966-71328   -            121 36316at4891          -             71   3.7e-13   46.7  10.6   1   1   2.7e-15   5.6e-13   46.1  10.6     2    71    39   114    38   114 0.84 -
ptg000003l:222347-222481 -             45 36316at4891          -             71   5.1e-07   27.0   6.9   1   1   3.6e-09   7.4e-07   26.5   6.9    28    68     1    45     1    45 0.74 -
ptg000011l:302013-303650 -            546 36316at4891          -             71   1.2e-05   22.6   3.4   1   1   1.2e-07   2.4e-05   21.7   3.4    10    68   337   395   329   398 0.76 -
ptg000007l:741527-746212 -           1562 36316at4891          -             71   4.8e-05   20.7   4.6   1   1   6.7e-07   0.00014   19.3   4.6    15    70  1506  1557  1495  1558 0.82 -
ptg000002l:356837-356992 -             52 36316at4891          -             71   0.00013   19.3   4.4   1   1   1.3e-06   0.00026   18.3   4.4    26    68     6    52     1    52 0.67 -
ptg000017l:378972-381245 -            758 36316at4891          -             71    0.0038   14.6   4.5   1   1   3.5e-05    0.0073   13.7   4.5    17    69   699   753   693   755 0.70 -
ptg000013l:162800-167341 -           1514 36316at4891          -             71    0.0088   13.5   5.9   1   1   0.00012     0.024   12.1   5.9    27    68  1200  1239  1196  1241 0.82 -
ptg000015l:79250-80989   -            580 36316at4891          -             71     0.013   13.0   7.2   1   1   0.00018     0.038   11.4   7.2    27    69   237   279   231   281 0.70 -
ptg000004l:190743-194234 -           1164 36316at4891          -             71     0.013   12.9   2.0   1   1   0.00014     0.028   11.8   2.0    40    70   925   958   902   959 0.71 -
ptg000011l:61979-65887   -           1303 36316at4891          -             71     0.028   11.9   6.7   1   1   0.00029     0.059   10.8   6.7    17    65  1249  1298  1245  1302 0.80 -
ptg000007l:711735-714809 -           1025 36316at4891          -             71     0.054   11.0   2.5   1   1   0.00055      0.11    9.9   2.5    25    67   925   972   922   975 0.69 -
ptg000010l:102877-104088 -            404 36316at4891          -             71       1.7    6.1   9.0   1   2     0.016       3.3    5.2   4.4    27    70    18    59     4    60 0.75 -
ptg000010l:102877-104088 -            404 36316at4891          -             71       1.7    6.1   9.0   2   2     0.085        17    2.9   0.1    57    71   174   188   161   188 0.73 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-41-2022/Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/36316at4891.hmm
# Target file:     /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/output.bp.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/hmmer_output/initial_run_results/36316at4891.out --cpu 1 /home/inf-41-2022/Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/36316at4891.hmm /home/inf-41-2022/Assembly/Busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/output.bp.p_ctg.fa.modified.fas 
# Current dir:     /home/inf-41-2022/Assembly
# Date:            Thu Feb 23 23:26:39 2023
# [ok]
