#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ptg000008l:850268-852322 -            685 1653at4891           -            641  5.1e-208  683.4   5.6   1   1  1.3e-207  2.5e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
ptg000005l:196448-198622 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   1   3   3.6e-52   6.8e-52  167.6   0.8     2   254     2   243     1   248 0.92 -
ptg000005l:196448-198622 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   2   3   4.5e-14   8.4e-14   41.8   0.0   214   301   247   339   241   351 0.90 -
ptg000005l:196448-198622 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   3   3   1.3e-09   2.3e-09   27.1   0.5   324   524   405   598   385   677 0.78 -
ptg000010l:93689-94708   -            340 1653at4891           -            641   1.6e-33  106.9   6.7   1   2   2.5e-18   4.6e-18   55.9   0.8   115   253     4   147     2   165 0.82 -
ptg000010l:93689-94708   -            340 1653at4891           -            641   1.6e-33  106.9   6.7   2   2   1.1e-15   2.1e-15   47.1   0.5   105   225   209   328   168   329 0.75 -
ptg000002l:605241-605981 -            247 1653at4891           -            641   2.2e-31   99.9   0.6   1   2   2.9e-25   5.3e-25   78.8   0.4    90   256    32   196     4   200 0.88 -
ptg000002l:605241-605981 -            247 1653at4891           -            641   2.2e-31   99.9   0.6   2   2   2.1e-09   3.9e-09   26.4   0.0   191   252   173   235   166   244 0.86 -
ptg000010l:74452-75246   -            265 1653at4891           -            641   5.7e-28   88.6   0.0   1   2   4.9e-21   9.1e-21   64.8   0.0    96   252     3   164     1   178 0.89 -
ptg000010l:74452-75246   -            265 1653at4891           -            641   5.7e-28   88.6   0.0   2   2   3.8e-08   7.1e-08   22.2   0.0    87   166   181   264   173   265 0.82 -
ptg000010l:113075-114058 -            328 1653at4891           -            641   8.3e-28   88.0   0.0   1   1     6e-28   1.1e-27   87.6   0.0     6   250    28   276    23   288 0.88 -
ptg000014l:156970-157761 -            264 1653at4891           -            641   1.3e-25   80.8   3.7   1   4   3.5e-09   6.5e-09   25.6   0.0   191   252     5    67     2    82 0.84 -
